RAW WEIGHT AND BIAS SUMMARY for ../models/yolo26n.pt
Parameter Name                                     | Shape                | Mean       | Std       
model.16.m.0.m.0.cv2.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.16.m.0.m.1.cv1.conv.weight                   | [16, 16, 3, 3]       | -0.003355  | 0.065981  
model.16.m.0.m.1.cv1.bn.weight                     | [16]                 | 0.653397   | 0.143778  
model.16.m.0.m.1.cv1.bn.bias                       | [16]                 | -0.250214  | 0.823395  
model.16.m.0.m.1.cv1.bn.running_mean               | [16]                 | -0.011051  | 0.299111  
model.16.m.0.m.1.cv1.bn.running_var                | [16]                 | 0.186882   | 0.084705  
model.16.m.0.m.1.cv1.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.16.m.0.m.1.cv2.conv.weight                   | [16, 16, 3, 3]       | 0.000928   | 0.067610  
model.16.m.0.m.1.cv2.bn.weight                     | [16]                 | 1.508728   | 0.331990  
model.16.m.0.m.1.cv2.bn.bias                       | [16]                 | 2.450775   | 1.646164  
model.16.m.0.m.1.cv2.bn.running_mean               | [16]                 | 0.064533   | 0.457954  
model.16.m.0.m.1.cv2.bn.running_var                | [16]                 | 0.060137   | 0.017110  
model.16.m.0.m.1.cv2.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.17.conv.weight                               | [64, 64, 3, 3]       | -0.000425  | 0.030895  
model.17.bn.weight                                 | [64]                 | 0.830887   | 0.166751  
model.17.bn.bias                                   | [64]                 | -0.467099  | 0.673682  
model.17.bn.running_mean                           | [64]                 | -0.293037  | 0.796439  
model.17.bn.running_var                            | [64]                 | 0.168583   | 0.105078  
model.17.bn.num_batches_tracked                    | []                   | 0.000000   | nan       
model.19.cv1.conv.weight                           | [128, 192, 1, 1]     | -0.002798  | 0.048086  
model.19.cv1.bn.weight                             | [128]                | 0.876368   | 0.199435  
model.19.cv1.bn.bias                               | [128]                | -0.078799  | 0.683649  
model.19.cv1.bn.running_mean                       | [128]                | 0.050463   | 0.175389  
model.19.cv1.bn.running_var                        | [128]                | 0.061432   | 0.038122  
model.19.cv1.bn.num_batches_tracked                | []                   | 0.000000   | nan       
model.19.cv2.conv.weight                           | [128, 192, 1, 1]     | -0.001922  | 0.049875  
model.19.cv2.bn.weight                             | [128]                | 0.846932   | 0.658795  
model.19.cv2.bn.bias                               | [128]                | -0.341757  | 0.977403  
model.19.cv2.bn.running_mean                       | [128]                | -0.147688  | 0.448442  
model.19.cv2.bn.running_var                        | [128]                | 0.308422   | 0.235936  
model.19.cv2.bn.num_batches_tracked                | []                   | 0.000000   | nan       
model.19.m.0.cv1.conv.weight                       | [32, 64, 1, 1]       | -0.005322  | 0.078353  
model.19.m.0.cv1.bn.weight                         | [32]                 | 0.308922   | 0.134440  
model.19.m.0.cv1.bn.bias                           | [32]                 | -0.052108  | 0.526056  
model.19.m.0.cv1.bn.running_mean                   | [32]                 | 0.004845   | 0.216162  
model.19.m.0.cv1.bn.running_var                    | [32]                 | 0.128553   | 0.046251  
model.19.m.0.cv1.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.19.m.0.cv2.conv.weight                       | [32, 64, 1, 1]       | -0.003302  | 0.063107  
model.19.m.0.cv2.bn.weight                         | [32]                 | 1.080917   | 0.275060  
model.19.m.0.cv2.bn.bias                           | [32]                 | -0.036726  | 0.518717  
model.19.m.0.cv2.bn.running_mean                   | [32]                 | -0.013600  | 0.214775  
model.19.m.0.cv2.bn.running_var                    | [32]                 | 0.085954   | 0.029822  
model.19.m.0.cv2.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.19.m.0.cv3.conv.weight                       | [64, 64, 1, 1]       | -0.002625  | 0.074516  
model.19.m.0.cv3.bn.weight                         | [64]                 | 1.622444   | 0.959960  
model.19.m.0.cv3.bn.bias                           | [64]                 | 0.040457   | 0.819343  
model.19.m.0.cv3.bn.running_mean                   | [64]                 | -0.239808  | 0.944520  
model.19.m.0.cv3.bn.running_var                    | [64]                 | 0.870312   | 0.538964  
model.19.m.0.cv3.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.19.m.0.m.0.cv1.conv.weight                   | [32, 32, 3, 3]       | -0.001761  | 0.046708  
model.19.m.0.m.0.cv1.bn.weight                     | [32]                 | 0.836052   | 0.157253  
model.19.m.0.m.0.cv1.bn.bias                       | [32]                 | -0.470029  | 0.417648  
model.19.m.0.m.0.cv1.bn.running_mean               | [32]                 | -0.019558  | 0.133776  
model.19.m.0.m.0.cv1.bn.running_var                | [32]                 | 0.016300   | 0.006283  
model.19.m.0.m.0.cv1.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.19.m.0.m.0.cv2.conv.weight                   | [32, 32, 3, 3]       | -0.002143  | 0.043666  
model.19.m.0.m.0.cv2.bn.weight                     | [32]                 | 0.760422   | 0.206061  
model.19.m.0.m.0.cv2.bn.bias                       | [32]                 | -0.280805  | 0.713242  
model.19.m.0.m.0.cv2.bn.running_mean               | [32]                 | 0.042908   | 0.102840  
model.19.m.0.m.0.cv2.bn.running_var                | [32]                 | 0.085376   | 0.033872  
model.19.m.0.m.0.cv2.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.19.m.0.m.1.cv1.conv.weight                   | [32, 32, 3, 3]       | -0.002466  | 0.043394  
model.19.m.0.m.1.cv1.bn.weight                     | [32]                 | 0.896790   | 0.141102  
model.19.m.0.m.1.cv1.bn.bias                       | [32]                 | -0.366814  | 0.430860  
model.19.m.0.m.1.cv1.bn.running_mean               | [32]                 | 0.044652   | 0.391497  
model.19.m.0.m.1.cv1.bn.running_var                | [32]                 | 0.158850   | 0.058042  
model.19.m.0.m.1.cv1.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.19.m.0.m.1.cv2.conv.weight                   | [32, 32, 3, 3]       | -0.000401  | 0.043917  
model.19.m.0.m.1.cv2.bn.weight                     | [32]                 | 2.267380   | 0.949505  
model.19.m.0.m.1.cv2.bn.bias                       | [32]                 | 0.991276   | 1.697936  
model.19.m.0.m.1.cv2.bn.running_mean               | [32]                 | 0.025415   | 0.144403  
model.19.m.0.m.1.cv2.bn.running_var                | [32]                 | 0.206082   | 0.108905  
model.19.m.0.m.1.cv2.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.20.conv.weight                               | [128, 128, 3, 3]     | -0.000671  | 0.019944  
model.20.bn.weight                                 | [128]                | 1.017223   | 0.231412  
model.20.bn.bias                                   | [128]                | -0.486489  | 0.499840  
model.20.bn.running_mean                           | [128]                | -0.159904  | 0.445577  
model.20.bn.running_var                            | [128]                | 0.219792   | 0.169442  
model.20.bn.num_batches_tracked                    | []                   | 0.000000   | nan       
model.22.cv1.conv.weight                           | [256, 384, 1, 1]     | -0.002068  | 0.032039  
model.22.cv1.bn.weight                             | [256]                | 1.028859   | 0.395771  
model.22.cv1.bn.bias                               | [256]                | -0.510546  | 0.622889  
model.22.cv1.bn.running_mean                       | [256]                | 0.041515   | 0.140815  
model.22.cv1.bn.running_var                        | [256]                | 0.070040   | 0.047600  
model.22.cv1.bn.num_batches_tracked                | []                   | 0.000000   | nan       
model.22.cv2.conv.weight                           | [256, 384, 1, 1]     | -0.000866  | 0.031176  
model.22.cv2.bn.weight                             | [256]                | 1.099744   | 0.830444  
model.22.cv2.bn.bias                               | [256]                | -0.517973  | 0.758281  
model.22.cv2.bn.running_mean                       | [256]                | -0.123012  | 0.264791  
model.22.cv2.bn.running_var                        | [256]                | 0.449017   | 0.268713  
model.22.cv2.bn.num_batches_tracked                | []                   | 0.000000   | nan       
model.22.m.0.0.cv1.conv.weight                     | [64, 128, 3, 3]      | -0.001392  | 0.021481  
model.22.m.0.0.cv1.bn.weight                       | [64]                 | 1.073135   | 0.192240  
model.22.m.0.0.cv1.bn.bias                         | [64]                 | -0.566355  | 0.899181  
model.22.m.0.0.cv1.bn.running_mean                 | [64]                 | -0.007387  | 0.224961  
model.22.m.0.0.cv1.bn.running_var                  | [64]                 | 0.088393   | 0.064120  
model.22.m.0.0.cv1.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.22.m.0.0.cv2.conv.weight                     | [128, 64, 3, 3]      | -0.001802  | 0.027328  
model.22.m.0.0.cv2.bn.weight                       | [128]                | 1.282101   | 0.320346  
model.22.m.0.0.cv2.bn.bias                         | [128]                | -0.320957  | 0.773390  
model.22.m.0.0.cv2.bn.running_mean                 | [128]                | 0.178439   | 0.373398  
model.22.m.0.0.cv2.bn.running_var                  | [128]                | 0.270774   | 0.177255  
model.22.m.0.0.cv2.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.22.m.0.1.attn.qkv.conv.weight                | [256, 128, 1, 1]     | 0.000171   | 0.037401  
model.22.m.0.1.attn.qkv.bn.weight                  | [256]                | 0.972354   | 0.455665  
model.22.m.0.1.attn.qkv.bn.bias                    | [256]                | 0.003885   | 0.303192  
model.22.m.0.1.attn.qkv.bn.running_mean            | [256]                | 0.012884   | 0.294155  
model.22.m.0.1.attn.qkv.bn.running_var             | [256]                | 0.110250   | 0.041260  
model.22.m.0.1.attn.qkv.bn.num_batches_tracked     | []                   | 0.000000   | nan       
model.22.m.0.1.attn.proj.conv.weight               | [128, 128, 1, 1]     | -0.000085  | 0.046349  
model.22.m.0.1.attn.proj.bn.weight                 | [128]                | 0.665171   | 0.169518  
model.22.m.0.1.attn.proj.bn.bias                   | [128]                | -0.000005  | 0.000035  
model.22.m.0.1.attn.proj.bn.running_mean           | [128]                | 0.011839   | 0.119022  
model.22.m.0.1.attn.proj.bn.running_var            | [128]                | 0.251350   | 0.084039  
model.22.m.0.1.attn.proj.bn.num_batches_tracked    | []                   | 0.000000   | nan       
model.22.m.0.1.attn.pe.conv.weight                 | [128, 1, 3, 3]       | -0.011131  | 0.068018  
model.22.m.0.1.attn.pe.bn.weight                   | [128]                | 1.048954   | 0.336139  
model.22.m.0.1.attn.pe.bn.bias                     | [128]                | -0.000000  | 0.000020  
model.22.m.0.1.attn.pe.bn.running_mean             | [128]                | 0.000681   | 0.023387  
model.22.m.0.1.attn.pe.bn.running_var              | [128]                | 0.027758   | 0.044291  
model.22.m.0.1.attn.pe.bn.num_batches_tracked      | []                   | 0.000000   | nan       
model.22.m.0.1.ffn.0.conv.weight                   | [256, 128, 1, 1]     | -0.003566  | 0.035255  
model.22.m.0.1.ffn.0.bn.weight                     | [256]                | 1.378139   | 0.463826  
model.22.m.0.1.ffn.0.bn.bias                       | [256]                | -0.777182  | 0.417177  
model.22.m.0.1.ffn.0.bn.running_mean               | [256]                | -0.048220  | 0.176218  
model.22.m.0.1.ffn.0.bn.running_var                | [256]                | 0.230324   | 0.154068  
model.22.m.0.1.ffn.0.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.22.m.0.1.ffn.1.conv.weight                   | [128, 256, 1, 1]     | 0.000367   | 0.035728  
model.22.m.0.1.ffn.1.bn.weight                     | [128]                | 0.887342   | 0.205133  
model.22.m.0.1.ffn.1.bn.bias                       | [128]                | -0.000006  | 0.000024  
model.22.m.0.1.ffn.1.bn.running_mean               | [128]                | 0.028783   | 0.094637  
model.22.m.0.1.ffn.1.bn.running_var                | [128]                | 0.086863   | 0.033388  
model.22.m.0.1.ffn.1.bn.num_batches_tracked        | []                   | 0.000000   | nan       
model.23.cv2.0.0.conv.weight                       | [16, 64, 3, 3]       | -0.000289  | 0.034140  
model.23.cv2.0.0.bn.weight                         | [16]                 | 1.303894   | 0.576775  
model.23.cv2.0.0.bn.bias                           | [16]                 | 1.631664   | 1.865698  
model.23.cv2.0.0.bn.running_mean                   | [16]                 | 0.304701   | 0.929251  
model.23.cv2.0.0.bn.running_var                    | [16]                 | 0.341656   | 0.252697  
model.23.cv2.0.0.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.23.cv2.0.1.conv.weight                       | [16, 16, 3, 3]       | -0.000030  | 0.069274  
model.23.cv2.0.1.bn.weight                         | [16]                 | 1.239838   | 0.800411  
model.23.cv2.0.1.bn.bias                           | [16]                 | 0.378345   | 0.948964  
model.23.cv2.0.1.bn.running_mean                   | [16]                 | 0.378601   | 3.057598  
model.23.cv2.0.1.bn.running_var                    | [16]                 | 1.381454   | 0.807737  
model.23.cv2.0.1.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.23.cv2.0.2.weight                            | [4, 16, 1, 1]        | 0.090728   | 0.307804  
model.23.cv2.0.2.bias                              | [4]                  | 1.103027   | 0.410050  
model.23.cv2.1.0.conv.weight                       | [16, 128, 3, 3]      | -0.000135  | 0.024996  
model.23.cv2.1.0.bn.weight                         | [16]                 | 1.788330   | 0.556158  
model.23.cv2.1.0.bn.bias                           | [16]                 | 1.457184   | 1.582233  
model.23.cv2.1.0.bn.running_mean                   | [16]                 | 0.088285   | 0.972007  
model.23.cv2.1.0.bn.running_var                    | [16]                 | 0.978050   | 0.827354  
model.23.cv2.1.0.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.23.cv2.1.1.conv.weight                       | [16, 16, 3, 3]       | -0.001951  | 0.069902  
model.23.cv2.1.1.bn.weight                         | [16]                 | 1.357605   | 0.680123  
model.23.cv2.1.1.bn.bias                           | [16]                 | 0.415890   | 0.889006  
model.23.cv2.1.1.bn.running_mean                   | [16]                 | -0.318575  | 2.642510  
model.23.cv2.1.1.bn.running_var                    | [16]                 | 3.251602   | 2.067630  
model.23.cv2.1.1.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.23.cv2.1.2.weight                            | [4, 16, 1, 1]        | 0.093343   | 0.305833  
model.23.cv2.1.2.bias                              | [4]                  | 1.622070   | 0.388702  
model.23.cv2.2.0.conv.weight                       | [16, 256, 3, 3]      | -0.000424  | 0.017727  
model.23.cv2.2.0.bn.weight                         | [16]                 | 1.594971   | 0.578940  
model.23.cv2.2.0.bn.bias                           | [16]                 | 0.982338   | 1.489953  
model.23.cv2.2.0.bn.running_mean                   | [16]                 | -0.990112  | 1.408141  
model.23.cv2.2.0.bn.running_var                    | [16]                 | 6.811401   | 6.298404  
model.23.cv2.2.0.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.23.cv2.2.1.conv.weight                       | [16, 16, 3, 3]       | 0.000365   | 0.072079  
model.23.cv2.2.1.bn.weight                         | [16]                 | 1.381744   | 0.726007  
model.23.cv2.2.1.bn.bias                           | [16]                 | 0.654665   | 0.516408  
model.23.cv2.2.1.bn.running_mean                   | [16]                 | -0.018799  | 1.929090  
model.23.cv2.2.1.bn.running_var                    | [16]                 | 2.078278   | 1.261422  
model.23.cv2.2.1.bn.num_batches_tracked            | []                   | 0.000000   | nan       
model.23.cv2.2.2.weight                            | [4, 16, 1, 1]        | 0.070892   | 0.318455  
model.23.cv2.2.2.bias                              | [4]                  | 2.358643   | 0.429095  
model.23.cv3.0.0.0.conv.weight                     | [64, 1, 3, 3]        | 0.020102   | 0.089175  
model.23.cv3.0.0.0.bn.weight                       | [64]                 | 0.555824   | 0.195638  
model.23.cv3.0.0.0.bn.bias                         | [64]                 | 1.829246   | 1.163898  
model.23.cv3.0.0.0.bn.running_mean                 | [64]                 | -0.041448  | 0.270254  
model.23.cv3.0.0.0.bn.running_var                  | [64]                 | 0.017391   | 0.019485  
model.23.cv3.0.0.0.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.23.cv3.0.0.1.conv.weight                     | [80, 64, 1, 1]       | -0.002302  | 0.084161  
model.23.cv3.0.0.1.bn.weight                       | [80]                 | 0.673813   | 0.254375  
model.23.cv3.0.0.1.bn.bias                         | [80]                 | 0.302261   | 0.666111  
model.23.cv3.0.0.1.bn.running_mean                 | [80]                 | 0.022049   | 1.186013  
model.23.cv3.0.0.1.bn.running_var                  | [80]                 | 0.124159   | 0.046529  
model.23.cv3.0.0.1.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.23.cv3.0.1.0.conv.weight                     | [80, 1, 3, 3]        | 0.009380   | 0.097567  
model.23.cv3.0.1.0.bn.weight                       | [80]                 | 0.636267   | 0.206894  
model.23.cv3.0.1.0.bn.bias                         | [80]                 | 0.744371   | 0.795694  
model.23.cv3.0.1.0.bn.running_mean                 | [80]                 | 0.015039   | 0.147047  
model.23.cv3.0.1.0.bn.running_var                  | [80]                 | 0.025243   | 0.023185  
model.23.cv3.0.1.0.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.23.cv3.0.1.1.conv.weight                     | [80, 80, 1, 1]       | -0.002180  | 0.076142  
model.23.cv3.0.1.1.bn.weight                       | [80]                 | 1.571326   | 0.262110  
model.23.cv3.0.1.1.bn.bias                         | [80]                 | 1.012697   | 1.220254  
model.23.cv3.0.1.1.bn.running_mean                 | [80]                 | -0.231747  | 0.505570  
model.23.cv3.0.1.1.bn.running_var                  | [80]                 | 0.129197   | 0.041566  
model.23.cv3.0.1.1.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.23.cv3.0.2.weight                            | [80, 80, 1, 1]       | -0.018264  | 0.118413  
model.23.cv3.0.2.bias                              | [80]                 | -11.510058 | 0.793113  
model.23.cv3.1.0.0.conv.weight                     | [128, 1, 3, 3]       | 0.013537   | 0.068342  
model.23.cv3.1.0.0.bn.weight                       | [128]                | 0.574602   | 0.257581  
model.23.cv3.1.0.0.bn.bias                         | [128]                | 1.037675   | 1.073678  
model.23.cv3.1.0.0.bn.running_mean                 | [128]                | -0.021480  | 0.083067  
model.23.cv3.1.0.0.bn.running_var                  | [128]                | 0.008582   | 0.009531  
model.23.cv3.1.0.0.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.23.cv3.1.0.1.conv.weight                     | [80, 128, 1, 1]      | -0.002866  | 0.066971  
model.23.cv3.1.0.1.bn.weight                       | [80]                 | 0.870139   | 0.279456  
model.23.cv3.1.0.1.bn.bias                         | [80]                 | 0.247644   | 0.605962  
model.23.cv3.1.0.1.bn.running_mean                 | [80]                 | -0.422469  | 1.031332  
model.23.cv3.1.0.1.bn.running_var                  | [80]                 | 0.171199   | 0.073379  
model.23.cv3.1.0.1.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.23.cv3.1.1.0.conv.weight                     | [80, 1, 3, 3]        | 0.002662   | 0.089457  
model.23.cv3.1.1.0.bn.weight                       | [80]                 | 0.704968   | 0.362526  
model.23.cv3.1.1.0.bn.bias                         | [80]                 | 0.770680   | 0.654227  
model.23.cv3.1.1.0.bn.running_mean                 | [80]                 | 0.012366   | 0.187773  
model.23.cv3.1.1.0.bn.running_var                  | [80]                 | 0.048422   | 0.036170  
model.23.cv3.1.1.0.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.23.cv3.1.1.1.conv.weight                     | [80, 80, 1, 1]       | -0.001233  | 0.073722  
model.23.cv3.1.1.1.bn.weight                       | [80]                 | 1.645117   | 0.478657  
model.23.cv3.1.1.1.bn.bias                         | [80]                 | 1.107178   | 1.087196  
model.23.cv3.1.1.1.bn.running_mean                 | [80]                 | -0.066590  | 0.468741  
model.23.cv3.1.1.1.bn.running_var                  | [80]                 | 0.097859   | 0.044267  
model.23.cv3.1.1.1.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.23.cv3.1.2.weight                            | [80, 80, 1, 1]       | -0.019224  | 0.117406  
model.23.cv3.1.2.bias                              | [80]                 | -10.100635 | 0.676619  
model.23.cv3.2.0.0.conv.weight                     | [256, 1, 3, 3]       | 0.010411   | 0.052327  
model.23.cv3.2.0.0.bn.weight                       | [256]                | 0.891530   | 0.262492  
model.23.cv3.2.0.0.bn.bias                         | [256]                | 0.213828   | 0.640286  
model.23.cv3.2.0.0.bn.running_mean                 | [256]                | -0.022262  | 0.061878  
model.23.cv3.2.0.0.bn.running_var                  | [256]                | 0.008970   | 0.021320  
model.23.cv3.2.0.0.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.23.cv3.2.0.1.conv.weight                     | [80, 256, 1, 1]      | -0.002349  | 0.048398  
model.23.cv3.2.0.1.bn.weight                       | [80]                 | 1.022900   | 0.240307  
model.23.cv3.2.0.1.bn.bias                         | [80]                 | 0.306679   | 0.493506  
model.23.cv3.2.0.1.bn.running_mean                 | [80]                 | -0.061699  | 0.344700  
model.23.cv3.2.0.1.bn.running_var                  | [80]                 | 0.288380   | 0.098972  
model.23.cv3.2.0.1.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.23.cv3.2.1.0.conv.weight                     | [80, 1, 3, 3]        | 0.000521   | 0.083101  
model.23.cv3.2.1.0.bn.weight                       | [80]                 | 0.732623   | 0.332626  
model.23.cv3.2.1.0.bn.bias                         | [80]                 | 0.668069   | 0.572866  
model.23.cv3.2.1.0.bn.running_mean                 | [80]                 | 0.014806   | 0.179066  
model.23.cv3.2.1.0.bn.running_var                  | [80]                 | 0.049911   | 0.023404  
model.23.cv3.2.1.0.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.23.cv3.2.1.1.conv.weight                     | [80, 80, 1, 1]       | -0.004258  | 0.071998  
model.23.cv3.2.1.1.bn.weight                       | [80]                 | 1.668774   | 0.791213  
model.23.cv3.2.1.1.bn.bias                         | [80]                 | 0.947422   | 0.944187  
model.23.cv3.2.1.1.bn.running_mean                 | [80]                 | -0.182545  | 0.382664  
model.23.cv3.2.1.1.bn.running_var                  | [80]                 | 0.105710   | 0.070029  
model.23.cv3.2.1.1.bn.num_batches_tracked          | []                   | 0.000000   | nan       
model.23.cv3.2.2.weight                            | [80, 80, 1, 1]       | -0.022646  | 0.132015  
model.23.cv3.2.2.bias                              | [80]                 | -8.807813  | 0.680035  
model.23.one2one_cv2.0.0.conv.weight               | [16, 64, 3, 3]       | -0.000002  | 0.047655  
model.23.one2one_cv2.0.0.bn.weight                 | [16]                 | 2.040466   | 0.937702  
model.23.one2one_cv2.0.0.bn.bias                   | [16]                 | 2.812073   | 2.325332  
model.23.one2one_cv2.0.0.bn.running_mean           | [16]                 | 0.307899   | 1.046576  
model.23.one2one_cv2.0.0.bn.running_var            | [16]                 | 0.452164   | 0.365369  
model.23.one2one_cv2.0.0.bn.num_batches_tracked    | []                   | 0.000000   | nan       
model.23.one2one_cv2.0.1.conv.weight               | [16, 16, 3, 3]       | -0.000711  | 0.092276  
model.23.one2one_cv2.0.1.bn.weight                 | [16]                 | 1.023849   | 0.583650  
model.23.one2one_cv2.0.1.bn.bias                   | [16]                 | 0.140874   | 0.876152  
model.23.one2one_cv2.0.1.bn.running_mean           | [16]                 | 1.529633   | 5.231319  
model.23.one2one_cv2.0.1.bn.running_var            | [16]                 | 6.876221   | 3.989570  
model.23.one2one_cv2.0.1.bn.num_batches_tracked    | []                   | 0.000000   | nan       
model.23.one2one_cv2.0.2.weight                    | [4, 16, 1, 1]        | 0.069794   | 0.365139  
model.23.one2one_cv2.0.2.bias                      | [4]                  | 0.759766   | 0.160847  
model.23.one2one_cv2.1.0.conv.weight               | [16, 128, 3, 3]      | -0.000354  | 0.028843  
model.23.one2one_cv2.1.0.bn.weight                 | [16]                 | 1.784668   | 0.473231  
model.23.one2one_cv2.1.0.bn.bias                   | [16]                 | 1.586380   | 1.608232  
model.23.one2one_cv2.1.0.bn.running_mean           | [16]                 | 0.213234   | 1.088325  
model.23.one2one_cv2.1.0.bn.running_var            | [16]                 | 1.323250   | 1.063950  
model.23.one2one_cv2.1.0.bn.num_batches_tracked    | []                   | 0.000000   | nan       
model.23.one2one_cv2.1.1.conv.weight               | [16, 16, 3, 3]       | 0.000312   | 0.080638  
model.23.one2one_cv2.1.1.bn.weight                 | [16]                 | 1.220154   | 0.528436  
model.23.one2one_cv2.1.1.bn.bias                   | [16]                 | 0.303429   | 0.961270  
model.23.one2one_cv2.1.1.bn.running_mean           | [16]                 | 0.803772   | 2.739675  
model.23.one2one_cv2.1.1.bn.running_var            | [16]                 | 5.443085   | 3.671752  
model.23.one2one_cv2.1.1.bn.num_batches_tracked    | []                   | 0.000000   | nan       
model.23.one2one_cv2.1.2.weight                    | [4, 16, 1, 1]        | 0.099680   | 0.331669  
model.23.one2one_cv2.1.2.bias                      | [4]                  | 1.411377   | 0.456622  
model.23.one2one_cv2.2.0.conv.weight               | [16, 256, 3, 3]      | -0.000490  | 0.019183  
model.23.one2one_cv2.2.0.bn.weight                 | [16]                 | 1.501099   | 0.419229  
model.23.one2one_cv2.2.0.bn.bias                   | [16]                 | 1.091967   | 1.360814  
model.23.one2one_cv2.2.0.bn.running_mean           | [16]                 | -1.045021  | 1.655849  
model.23.one2one_cv2.2.0.bn.running_var            | [16]                 | 8.355225   | 7.554872  
model.23.one2one_cv2.2.0.bn.num_batches_tracked    | []                   | 0.000000   | nan       
model.23.one2one_cv2.2.1.conv.weight               | [16, 16, 3, 3]       | 0.000077   | 0.072755  
model.23.one2one_cv2.2.1.bn.weight                 | [16]                 | 1.383514   | 0.596881  
model.23.one2one_cv2.2.1.bn.bias                   | [16]                 | 0.578014   | 0.595339  
model.23.one2one_cv2.2.1.bn.running_mean           | [16]                 | -0.184944  | 2.241317  
model.23.one2one_cv2.2.1.bn.running_var            | [16]                 | 2.743744   | 1.872708  
model.23.one2one_cv2.2.1.bn.num_batches_tracked    | []                   | 0.000000   | nan       
model.23.one2one_cv2.2.2.weight                    | [4, 16, 1, 1]        | 0.073833   | 0.318321  
model.23.one2one_cv2.2.2.bias                      | [4]                  | 2.335938   | 0.325639  
model.23.one2one_cv3.0.0.0.conv.weight             | [64, 1, 3, 3]        | 0.012203   | 0.126497  
model.23.one2one_cv3.0.0.0.bn.weight               | [64]                 | 0.708927   | 0.223762  
model.23.one2one_cv3.0.0.0.bn.bias                 | [64]                 | 2.584412   | 1.179820  
model.23.one2one_cv3.0.0.0.bn.running_mean         | [64]                 | -0.059729  | 0.238588  
model.23.one2one_cv3.0.0.0.bn.running_var          | [64]                 | 0.026952   | 0.027602  
model.23.one2one_cv3.0.0.0.bn.num_batches_tracked  | []                   | 0.000000   | nan       
model.23.one2one_cv3.0.0.1.conv.weight             | [80, 64, 1, 1]       | -0.000581  | 0.100274  
model.23.one2one_cv3.0.0.1.bn.weight               | [80]                 | 0.558089   | 0.323850  
model.23.one2one_cv3.0.0.1.bn.bias                 | [80]                 | 0.194622   | 0.955874  
model.23.one2one_cv3.0.0.1.bn.running_mean         | [80]                 | 0.135332   | 1.899986  
model.23.one2one_cv3.0.0.1.bn.running_var          | [80]                 | 0.322130   | 0.192578  
model.23.one2one_cv3.0.0.1.bn.num_batches_tracked  | []                   | 0.000000   | nan       
model.23.one2one_cv3.0.1.0.conv.weight             | [80, 1, 3, 3]        | 0.011215   | 0.120458  
model.23.one2one_cv3.0.1.0.bn.weight               | [80]                 | 0.741733   | 0.288134  
model.23.one2one_cv3.0.1.0.bn.bias                 | [80]                 | 1.215750   | 1.063442  
model.23.one2one_cv3.0.1.0.bn.running_mean         | [80]                 | 0.052028   | 0.228381  
model.23.one2one_cv3.0.1.0.bn.running_var          | [80]                 | 0.026930   | 0.042487  
model.23.one2one_cv3.0.1.0.bn.num_batches_tracked  | []                   | 0.000000   | nan       
model.23.one2one_cv3.0.1.1.conv.weight             | [80, 80, 1, 1]       | -0.004573  | 0.094363  
model.23.one2one_cv3.0.1.1.bn.weight               | [80]                 | 1.599609   | 0.569053  
model.23.one2one_cv3.0.1.1.bn.bias                 | [80]                 | 0.984055   | 1.380973  
model.23.one2one_cv3.0.1.1.bn.running_mean         | [80]                 | -0.243629  | 1.194931  
model.23.one2one_cv3.0.1.1.bn.running_var          | [80]                 | 0.284879   | 0.080517  
model.23.one2one_cv3.0.1.1.bn.num_batches_tracked  | []                   | 0.000000   | nan       
model.23.one2one_cv3.0.2.weight                    | [80, 80, 1, 1]       | -0.021566  | 0.130224  
model.23.one2one_cv3.0.2.bias                      | [80]                 | -12.060351 | 1.052265  
model.23.one2one_cv3.1.0.0.conv.weight             | [128, 1, 3, 3]       | 0.014549   | 0.115322  
