RAW WEIGHT AND BIAS SUMMARY for ../models/yolo26n.pt
Parameter Name                                     | Shape                | Mean       | Std       
model.6.cv2.bn.running_var                         | [128]                | 0.202975   | 0.075056  
model.6.cv2.bn.num_batches_tracked                 | []                   | 0.000000   | nan       
model.6.m.0.cv1.conv.weight                        | [32, 64, 1, 1]       | -0.011118  | 0.083608  
model.6.m.0.cv1.bn.weight                          | [32]                 | 0.455944   | 0.125630  
model.6.m.0.cv1.bn.bias                            | [32]                 | 0.272762   | 0.479873  
model.6.m.0.cv1.bn.running_mean                    | [32]                 | -0.150539  | 0.367101  
model.6.m.0.cv1.bn.running_var                     | [32]                 | 0.111264   | 0.042711  
model.6.m.0.cv1.bn.num_batches_tracked             | []                   | 0.000000   | nan       
model.6.m.0.cv2.conv.weight                        | [32, 64, 1, 1]       | -0.005886  | 0.074400  
model.6.m.0.cv2.bn.weight                          | [32]                 | 1.132767   | 0.382742  
model.6.m.0.cv2.bn.bias                            | [32]                 | -0.124729  | 0.697675  
model.6.m.0.cv2.bn.running_mean                    | [32]                 | -0.091562  | 0.254376  
model.6.m.0.cv2.bn.running_var                     | [32]                 | 0.085793   | 0.026912  
model.6.m.0.cv2.bn.num_batches_tracked             | []                   | 0.000000   | nan       
model.6.m.0.cv3.conv.weight                        | [64, 64, 1, 1]       | -0.005770  | 0.080636  
model.6.m.0.cv3.bn.weight                          | [64]                 | 0.973804   | 0.268159  
model.6.m.0.cv3.bn.bias                            | [64]                 | -0.203197  | 0.856389  
model.6.m.0.cv3.bn.running_mean                    | [64]                 | -0.271065  | 1.146305  
model.6.m.0.cv3.bn.running_var                     | [64]                 | 0.350567   | 0.106653  
model.6.m.0.cv3.bn.num_batches_tracked             | []                   | 0.000000   | nan       
model.6.m.0.m.0.cv1.conv.weight                    | [32, 32, 3, 3]       | -0.003483  | 0.046249  
model.6.m.0.m.0.cv1.bn.weight                      | [32]                 | 0.914566   | 0.110365  
model.6.m.0.m.0.cv1.bn.bias                        | [32]                 | -0.627164  | 0.493199  
model.6.m.0.m.0.cv1.bn.running_mean                | [32]                 | -0.238346  | 0.219020  
model.6.m.0.m.0.cv1.bn.running_var                 | [32]                 | 0.091239   | 0.025271  
model.6.m.0.m.0.cv1.bn.num_batches_tracked         | []                   | 0.000000   | nan       
model.6.m.0.m.0.cv2.conv.weight                    | [32, 32, 3, 3]       | -0.001980  | 0.043634  
model.6.m.0.m.0.cv2.bn.weight                      | [32]                 | 0.660095   | 0.185548  
model.6.m.0.m.0.cv2.bn.bias                        | [32]                 | -0.002443  | 0.617911  
model.6.m.0.m.0.cv2.bn.running_mean                | [32]                 | 0.151584   | 0.153018  
model.6.m.0.m.0.cv2.bn.running_var                 | [32]                 | 0.122776   | 0.033374  
model.6.m.0.m.0.cv2.bn.num_batches_tracked         | []                   | 0.000000   | nan       
model.6.m.0.m.1.cv1.conv.weight                    | [32, 32, 3, 3]       | -0.002999  | 0.046858  
model.6.m.0.m.1.cv1.bn.weight                      | [32]                 | 0.754082   | 0.173853  
model.6.m.0.m.1.cv1.bn.bias                        | [32]                 | -0.350105  | 0.723105  
model.6.m.0.m.1.cv1.bn.running_mean                | [32]                 | -0.369374  | 0.415013  
model.6.m.0.m.1.cv1.bn.running_var                 | [32]                 | 0.170568   | 0.052323  
model.6.m.0.m.1.cv1.bn.num_batches_tracked         | []                   | 0.000000   | nan       
model.6.m.0.m.1.cv2.conv.weight                    | [32, 32, 3, 3]       | -0.001524  | 0.047099  
model.6.m.0.m.1.cv2.bn.weight                      | [32]                 | 1.008469   | 0.224290  
model.6.m.0.m.1.cv2.bn.bias                        | [32]                 | 1.377670   | 1.188673  
model.6.m.0.m.1.cv2.bn.running_mean                | [32]                 | 0.139671   | 0.291334  
model.6.m.0.m.1.cv2.bn.running_var                 | [32]                 | 0.121284   | 0.038678  
model.6.m.0.m.1.cv2.bn.num_batches_tracked         | []                   | 0.000000   | nan       
model.7.conv.weight                                | [256, 128, 3, 3]     | -0.000664  | 0.023312  
model.7.bn.weight                                  | [256]                | 0.807812   | 0.214702  
model.7.bn.bias                                    | [256]                | -0.285395  | 0.825762  
model.7.bn.running_mean                            | [256]                | 0.035689   | 0.314347  
model.7.bn.running_var                             | [256]                | 0.155733   | 0.080050  
model.7.bn.num_batches_tracked                     | []                   | 0.000000   | nan       
model.8.cv1.conv.weight                            | [256, 256, 1, 1]     | -0.003829  | 0.042036  
model.8.cv1.bn.weight                              | [256]                | 0.948030   | 0.242118  
model.8.cv1.bn.bias                                | [256]                | -0.463872  | 0.792847  
model.8.cv1.bn.running_mean                        | [256]                | -0.093149  | 0.385241  
model.8.cv1.bn.running_var                         | [256]                | 0.097177   | 0.032127  
model.8.cv1.bn.num_batches_tracked                 | []                   | 0.000000   | nan       
model.8.cv2.conv.weight                            | [256, 384, 1, 1]     | -0.003172  | 0.038888  
model.8.cv2.bn.weight                              | [256]                | 0.917438   | 0.256629  
model.8.cv2.bn.bias                                | [256]                | -0.389265  | 0.970726  
model.8.cv2.bn.running_mean                        | [256]                | -0.064137  | 0.300785  
model.8.cv2.bn.running_var                         | [256]                | 0.218193   | 0.095426  
model.8.cv2.bn.num_batches_tracked                 | []                   | 0.000000   | nan       
model.8.m.0.cv1.conv.weight                        | [64, 128, 1, 1]      | -0.007713  | 0.056970  
model.8.m.0.cv1.bn.weight                          | [64]                 | 0.555969   | 0.198394  
model.8.m.0.cv1.bn.bias                            | [64]                 | -0.226924  | 0.588840  
model.8.m.0.cv1.bn.running_mean                    | [64]                 | 0.013152   | 0.210968  
model.8.m.0.cv1.bn.running_var                     | [64]                 | 0.100467   | 0.043562  
model.8.m.0.cv1.bn.num_batches_tracked             | []                   | 0.000000   | nan       
model.8.m.0.cv2.conv.weight                        | [64, 128, 1, 1]      | -0.004366  | 0.048616  
model.8.m.0.cv2.bn.weight                          | [64]                 | 1.365875   | 0.214175  
model.8.m.0.cv2.bn.bias                            | [64]                 | -0.276659  | 0.328654  
model.8.m.0.cv2.bn.running_mean                    | [64]                 | -0.072622  | 0.179313  
model.8.m.0.cv2.bn.running_var                     | [64]                 | 0.068350   | 0.017511  
model.8.m.0.cv2.bn.num_batches_tracked             | []                   | 0.000000   | nan       
model.8.m.0.cv3.conv.weight                        | [128, 128, 1, 1]     | -0.003924  | 0.053883  
model.8.m.0.cv3.bn.weight                          | [128]                | 1.169273   | 0.209669  
